"HO11","HO12","HO13","HO14","HO15","HW05","HW06","HW07","HW08","HW13","HW14","OB02","OB12","OB13","OB14","OB15"
0,43,22,19,23,12,1,3,8,7,5,7,15,15,17,21
43,0,9,19,7,3,0,2,7,0,0,6,7,24,10,20
22,9,0,15,32,8,6,6,8,7,15,6,15,3,13,14
19,19,15,0,20,14,1,7,5,2,5,11,21,14,16,17
23,7,32,20,0,17,1,7,10,3,11,12,18,10,11,10
12,3,8,14,17,0,12,11,5,8,17,13,8,14,12,19
1,0,6,1,1,12,0,8,4,10,6,0,2,1,1,2
3,2,6,7,7,11,8,0,7,5,10,4,8,7,4,2
8,7,8,5,10,5,4,7,0,7,2,1,7,11,4,5
7,0,7,2,3,8,10,5,7,0,17,9,12,3,9,8
5,0,15,5,11,17,6,10,2,17,0,12,8,9,9,6
7,6,6,11,12,13,0,4,1,9,12,0,8,9,9,14
15,7,15,21,18,8,2,8,7,12,8,8,0,10,17,14
15,24,3,14,10,14,1,7,11,3,9,9,10,0,14,11
17,10,13,16,11,12,1,4,4,9,9,9,17,14,0,21
21,20,14,17,10,19,2,2,5,8,6,14,14,11,21,0
